shortestPath;Ford-Bellman;Prim;Kruskal
1665;18597;1865;21706
1881;19097;1973;22231
2809;20985;2719;22841
1692;19048;2131;22361
1718;18030;1846;27063
1865;19778;2178;22578
1892;18593;1830;22182
5356;41340;2304;31528
1778;18290;1898;21835
1858;18348;2007;22080
1925;20757;2314;23089
2025;19758;4507;58893
3431;21622;3447;30617
1886;19963;2419;27391
1870;22880;2051;27525
1879;18327;2411;22342
1838;18752;2172;22424
1784;18687;2011;25946
1904;18856;2036;22801
1727;18484;1992;22301
2128;19255;2123;24230
1764;18232;2169;22373
1863;18686;1998;22590
1673;18492;2125;22686
1900;18512;3071;24078
1939;18879;2039;22669
1726;18205;2064;22155
1827;18275;1945;22069
2057;18604;2014;22784
1852;18470;1833;22295
1736;18678;1976;22545
1683;18718;2014;22525
1940;18397;2028;22220
2086;18774;1831;22153
1901;18411;1877;22954
2198;18826;1904;22624
1989;18219;2935;25867
1675;18597;2096;22466
1731;18627;1870;22327
1972;18581;1943;22932
1810;18671;2060;22869
1685;18393;2048;22395
1884;18527;1822;21942
2268;18972;2126;22857
1968;19068;1893;22820
1905;22164;2493;25739
2473;19261;2594;23769
1788;18951;2133;22668
1707;18167;1936;23301
1715;18214;1805;21337
1689;19312;2196;21822
1882;19734;2601;29542
2049;20752;2013;22723
1991;19610;2070;24360
4149;21018;2129;105615
2509;22095;3184;41875
3738;18453;1887;21844
1818;22419;5894;28623
2446;20671;2281;28258
1874;26791;2346;28776
2480;21813;2378;23860
1836;19017;2047;24302
1859;18294;2091;23240
1840;19723;1993;23342
1821;19468;1913;22753
1922;21831;1837;23378
1750;18114;1972;25472
1659;19624;2034;24557
1817;24190;1923;22202
1632;18402;1905;22073
1659;19555;2402;22280
2012;18206;1987;22154
1807;18281;6166;82686
1876;24188;2193;26781
1761;21735;2271;26036
2225;23636;3968;39719
2469;20842;2423;26169
1920;19236;1923;23836
1673;19357;1944;23170
2252;22447;2064;26877
1889;20093;2045;26568
1865;21834;2047;25405
2494;26029;2110;29087
1879;21283;2227;26341
1889;91166;2147;27117
1978;24835;2122;27287
3129;22617;2311;24553
1717;19668;1846;22560
1797;18394;1830;22295
1705;18034;1821;24489
1798;17762;1822;21745
1678;18202;1835;22012
1832;18191;2034;21623
1917;18479;1957;23286
2071;18014;1877;21486
1698;18252;1948;21559
1842;18153;1861;22042
1718;18218;1889;22299
1842;18482;1928;21727
1731;18455;2607;21510
