Dijkstra;Ford-Bellman;Prim;Kruskal
8600;10000;8400;21900
7900;8400;7600;20900
7900;8200;10700;27400
11300;11600;8000;21100
11900;13900;11200;31300
12200;13400;12200;31400
11600;12700;12000;32200
7900;8400;7600;20700
7700;8300;7600;21500
7700;8000;7300;19300
7700;8500;7800;21400
9200;8400;9400;21700
8100;8300;7700;21600
7700;13800;14100;21400
8000;7800;7600;19900
11900;14500;11600;32900
12200;13300;12000;41600
12300;13300;11900;32100
8000;8200;7400;21700
7700;7900;8600;22500
9400;8100;9200;20900
11400;13400;11900;32600
8000;8300;8000;21500
11800;13100;11600;30200
7800;8200;7600;20100
7800;7900;7700;20900
7800;8000;8000;20400
7700;7900;7500;19600
12700;13200;12400;32000
13900;13100;13700;33000
9100;8100;8600;20800
7600;8300;8100;28100
8100;8100;7800;21400
14200;13000;12100;33100
8000;10600;8500;20400
8300;8100;7700;19800
8200;8300;7800;21200
8100;7800;8200;21300
9700;10300;8000;20600
7900;8200;7900;22600
11900;14900;11900;30400
12100;13100;11700;33400
7600;8200;7300;19000
7700;8200;7200;20400
7400;8300;7100;19300
7600;8200;7400;20000
7800;7900;7600;20300
9900;8900;7500;20300
7700;8500;7600;20700
7800;8100;7300;19600
7700;8100;7700;21300
7600;9800;7700;19300
7800;8300;8100;30100
11900;13300;11300;29900
12000;14700;13400;31600
7600;16200;8800;19700
13600;15500;12100;33900
7800;8100;7300;19200
7700;8300;7100;19400
7500;8000;7700;23300
8600;8600;9500;23100
8600;8600;10300;20300
7600;7900;7300;19500
7300;8300;7400;20000
11600;14900;11500;30500
11500;13000;11700;34900
11800;12900;11500;33900
7900;8000;7300;19600
7700;8000;7600;20400
7600;8200;7500;40500
7800;8200;7400;20400
8000;8000;7500;20100
7700;8500;10700;28700
7600;8700;7600;20100
9200;9100;7500;19600
7500;8400;7200;19800
8100;16200;8700;19400
7900;8200;7400;27200
11600;14800;13600;30900
7700;8200;8200;20300
8100;12400;7800;20600
7900;8600;7600;20200
7600;8100;7600;19700
7400;8500;7100;20100
7500;8300;7800;20900
7400;8200;7200;19900
7700;8300;7300;20200
7100;8000;7300;19200
7400;8000;7200;20300
7400;8200;7600;19500
7800;8300;7400;19800
11800;13100;11200;33800
11800;12900;11400;30200
11700;13000;11500;29700
7400;7900;7500;20900
7900;8300;7900;21100
11600;13000;11300;30100
7800;8100;7600;20300
7800;8100;7500;19100
9500;8200;7900;19700
