shortestPath;Ford-Bellman;Prim;Kruskal
1878;16877;1663;22303
1987;16493;1591;22160
2209;20362;1666;24518
1955;17096;1699;22322
1829;16840;1753;22049
1990;18525;1745;24458
1982;17884;1671;21863
2177;27766;2057;26756
1969;16334;1647;21920
1974;16727;1587;21768
2064;18085;2102;25572
2141;17076;2526;53736
2040;22195;2334;26018
2015;18179;2207;26555
1959;19325;2725;26476
2493;18255;1625;22294
1965;16635;1561;22527
1897;17711;1842;22812
1993;16625;1599;22307
1958;16903;1645;22382
1902;17477;1739;26006
2023;16721;1615;22171
1959;16800;1727;22626
2000;16750;1775;21887
2013;17358;1572;22476
1990;16783;1601;22531
2018;18130;1772;23058
1979;16800;1752;22388
1982;16551;1596;22924
1840;16595;1768;22362
2031;17403;1826;23322
2165;16671;1719;21998
2208;17051;1593;22180
1888;17352;1851;22561
2006;16723;1829;22426
2049;18904;1768;22153
1955;16655;1612;27688
1896;17429;1751;22988
1892;17074;1771;22192
1979;16933;1759;22536
2045;20775;1734;22132
1942;16872;1679;22897
2019;16983;1757;22265
1946;20255;1562;23689
1999;17078;1664;22536
2143;18348;2228;25279
2362;25619;1814;28438
1964;16635;1609;22342
2008;17429;1617;21727
1965;16299;1744;22118
1973;16147;1663;21597
2745;18366;1818;28325
1908;17483;1759;22725
2171;20213;1754;27166
2032;20187;1811;24571
2279;23233;1723;39922
2052;16704;1717;22334
2016;20106;1863;24034
2386;21922;1936;25849
2216;18018;1762;26215
1988;19217;1978;24600
1987;17844;1739;25903
1913;16842;1678;22981
1990;17932;1754;31555
1890;16633;1798;24497
2014;17092;1723;22278
1964;16651;1756;21802
1985;17608;1672;22159
2030;16464;1627;21906
1813;16694;1718;23075
1961;16543;1744;21983
1967;17391;1572;23289
1986;17575;1583;106643
2059;19095;1792;23519
2110;18048;2211;28254
2227;20389;1774;27286
2579;31269;1779;27567
2655;20975;1766;28050
1920;16786;1744;22317
2044;22188;1717;24586
2122;21542;1748;25518
3717;19401;1720;26871
2847;21346;2043;28492
4995;19516;1742;23827
1989;19036;31485;71462
1997;19046;1764;25023
2013;21734;2009;25152
1950;16331;1766;23484
2006;17966;1630;27153
1815;16538;1635;21829
1977;16476;1714;22046
1903;16224;1577;21754
1966;16151;2783;23750
1946;17651;1584;21382
1962;16375;1691;21843
2046;16477;1639;22043
1920;16280;1649;21635
1812;16583;1583;22152
1799;16164;1626;21702
1875;16513;1811;22569
